Family,Breed,Path,Set
Gato,Bombay,images/Bombay_137.jpg,train
Gato,Abyssinian,images/Abyssinian_128.jpg,train
Gato,Russian_Blue,images/Russian_Blue_112.jpg,train
Gato,Bengal,images/Bengal_77.jpg,train
Gato,Bengal,images/Bengal_18.jpg,train
Gato,Bengal,images/Bengal_113.jpg,train
Gato,Persian,images/Persian_89.jpg,train
Gato,Maine_Coon,images/Maine_Coon_24.jpg,train
Gato,Russian_Blue,images/Russian_Blue_187.jpg,train
Gato,Russian_Blue,images/Russian_Blue_206.jpg,train
Gato,Persian,images/Persian_6.jpg,train
Gato,Bengal,images/Bengal_80.jpg,train
Gato,Siamese,images/Siamese_40.jpg,train
Gato,British_Shorthair,images/British_Shorthair_90.jpg,train
Gato,Ragdoll,images/Ragdoll_80.jpg,train
Gato,Abyssinian,images/Abyssinian_139.jpg,test
Gato,British_Shorthair,images/British_Shorthair_43.jpg,train
Gato,Ragdoll,images/Ragdoll_27.jpg,train
Gato,Siamese,images/Siamese_168.jpg,train
Gato,Sphynx,images/Sphynx_125.jpg,train
Gato,British_Shorthair,images/British_Shorthair_15.jpg,test
Gato,British_Shorthair,images/British_Shorthair_268.jpg,train
Gato,Bombay,images/Bombay_143.jpg,train
Gato,Birman,images/Birman_32.jpg,train
Gato,Bombay,images/Bombay_182.jpg,train
Gato,Russian_Blue,images/Russian_Blue_96.jpg,test
Gato,Maine_Coon,images/Maine_Coon_35.jpg,train
Gato,Russian_Blue,images/Russian_Blue_50.jpg,train
Gato,Bengal,images/Bengal_185.jpg,train
Gato,Bombay,images/Bombay_5.jpg,train
Gato,Egyptian_Mau,images/Egyptian_Mau_51.jpg,train
Gato,Bengal,images/Bengal_134.jpg,train
Gato,British_Shorthair,images/British_Shorthair_65.jpg,train
Gato,Siamese,images/Siamese_39.jpg,train
Gato,Sphynx,images/Sphynx_121.jpg,train
Gato,Bengal,images/Bengal_126.jpg,train
Gato,Persian,images/Persian_49.jpg,train
Gato,Bombay,images/Bombay_110.jpg,train
Gato,Egyptian_Mau,images/Egyptian_Mau_214.jpg,train
Gato,Abyssinian,images/Abyssinian_99.jpg,train
Gato,Abyssinian,images/Abyssinian_121.jpg,train
Gato,Bombay,images/Bombay_61.jpg,train
Gato,Siamese,images/Siamese_160.jpg,train
Gato,Sphynx,images/Sphynx_204.jpg,train
Gato,Bombay,images/Bombay_221.jpg,train
Gato,Abyssinian,images/Abyssinian_86.jpg,train
Gato,Sphynx,images/Sphynx_5.jpg,train
Gato,Sphynx,images/Sphynx_193.jpg,train
Gato,Russian_Blue,images/Russian_Blue_62.jpg,train
Gato,Siamese,images/Siamese_100.jpg,train
Gato,Siamese,images/Siamese_52.jpg,train
Gato,Siamese,images/Siamese_150.jpg,train
Gato,Bombay,images/Bombay_36.jpg,train
Gato,Maine_Coon,images/Maine_Coon_134.jpg,train
Gato,Bombay,images/Bombay_92.jpg,train
Gato,British_Shorthair,images/British_Shorthair_47.jpg,train
Gato,Sphynx,images/Sphynx_98.jpg,train
Gato,Bengal,images/Bengal_26.jpg,train
Gato,British_Shorthair,images/British_Shorthair_135.jpg,train
Gato,Bengal,images/Bengal_108.jpg,train
Gato,Ragdoll,images/Ragdoll_3.jpg,train
Gato,Abyssinian,images/Abyssinian_13.jpg,train
